,CA,TX,NY,FL,IL,PA,OH,MI,GA,NC,NJ,VA,WA,MA,IN,AZ,TN,MO,MD,WI,MN,CO,AL,SC,LA,KY,OR,OK,CT,IA,MS,AR,KS,UT,NV,NM,WV,NE,ID,HI,ME,NH,RI,MT,DE,SD,AK,ND,VT,DC,WY,CA_forecast,TX_forecast,NY_forecast,FL_forecast,IL_forecast,PA_forecast,OH_forecast,MI_forecast,GA_forecast,NC_forecast,NJ_forecast,VA_forecast,WA_forecast,MA_forecast,IN_forecast,AZ_forecast,TN_forecast,MO_forecast,MD_forecast,WI_forecast,MN_forecast,CO_forecast,AL_forecast,SC_forecast,LA_forecast,KY_forecast,OR_forecast,OK_forecast,CT_forecast,IA_forecast,MS_forecast,AR_forecast,KS_forecast,UT_forecast,NV_forecast,NM_forecast,WV_forecast,NE_forecast,ID_forecast,HI_forecast,ME_forecast,NH_forecast,RI_forecast,MT_forecast,DE_forecast,SD_forecast,AK_forecast,ND_forecast,VT_forecast,DC_forecast,WY_forecast
1996-01-31,130687.0,63200.0,91755.0,76272.0,99546.0,71742.0,65072.0,70320.0,68519.0,72529.0,125210.0,79714.0,109381.0,117039.0,,94484.0,66342.0,62400.0,104276.0,78878.0,81696.0,102796.0,53484.0,70523.0,57376.0,50992.0,97822.0,29840.0,107929.0,62736.0,57274.0,53687.0,50537.0,123001.0,115485.0,,39930.0,61691.0,89503.0,212681.0,86514.0,81439.0,106376.0,,99375.0,77380.0,100658.0,,92526.0,154450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-02-29,130515.0,63235.0,91500.0,76345.0,99348.0,71728.0,65141.0,70569.0,68666.0,72697.0,124969.0,79620.0,109379.0,117024.0,,94712.0,66562.0,62498.0,104194.0,78854.0,81607.0,103187.0,53691.0,70807.0,57706.0,51097.0,98183.0,29909.0,107734.0,62897.0,57310.0,53621.0,50658.0,123049.0,115429.0,,39919.0,61869.0,89675.0,212048.0,86167.0,81060.0,106361.0,,99274.0,77710.0,100893.0,,92562.0,153832.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-03-31,130366.0,63254.0,91331.0,76421.0,99107.0,71703.0,65234.0,70813.0,68815.0,72868.0,124780.0,79584.0,109371.0,117079.0,,94988.0,66755.0,62580.0,104159.0,78817.0,81538.0,103527.0,53932.0,71102.0,57885.0,51182.0,98520.0,29992.0,107783.0,63015.0,57398.0,53648.0,50735.0,123243.0,115523.0,,39917.0,61938.0,89834.0,211498.0,85917.0,80795.0,106317.0,,99201.0,77546.0,100457.0,,92472.0,153204.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-04-30,130094.0,63378.0,91071.0,76564.0,98835.0,71673.0,65435.0,71333.0,69142.0,73184.0,124445.0,79493.0,109394.0,117202.0,,95468.0,67126.0,62772.0,104113.0,78835.0,81496.0,104219.0,54364.0,71701.0,58345.0,51371.0,99214.0,30150.0,107755.0,63267.0,57513.0,53682.0,51018.0,123585.0,115573.0,,39908.0,62192.0,90146.0,210376.0,85362.0,80360.0,106220.0,,99083.0,77383.0,100409.0,,92384.0,152145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-05-31,129865.0,63479.0,90919.0,76694.0,98439.0,71619.0,65642.0,71841.0,69454.0,73460.0,124175.0,79386.0,109468.0,117354.0,72610.0,95915.0,67501.0,62907.0,104100.0,78964.0,81544.0,104844.0,54662.0,72093.0,58662.0,51533.0,99865.0,30311.0,107702.0,63491.0,57635.0,53778.0,51233.0,124063.0,115723.0,,39925.0,62361.0,90313.0,208814.0,84958.0,80198.0,106064.0,,99191.0,76682.0,100196.0,,92170.0,151347.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-06-30,129672.0,63565.0,90789.0,76855.0,98220.0,71605.0,65845.0,72339.0,69787.0,73753.0,123977.0,79238.0,109697.0,117537.0,72456.0,96305.0,67925.0,62967.0,104094.0,79222.0,81755.0,105469.0,54870.0,72510.0,58929.0,51701.0,100512.0,30420.0,107647.0,63680.0,57772.0,53872.0,51441.0,124503.0,115762.0,,39948.0,62653.0,90302.0,207024.0,84536.0,80220.0,105802.0,,99510.0,76404.0,100562.0,,91888.0,150856.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-07-31,129513.0,63623.0,90628.0,77015.0,97880.0,71618.0,66031.0,72790.0,70081.0,74060.0,123841.0,79101.0,109967.0,117798.0,72355.0,96686.0,68368.0,62965.0,104033.0,79531.0,81966.0,106081.0,54990.0,72697.0,59087.0,51879.0,101132.0,30529.0,107529.0,63806.0,58000.0,53997.0,51477.0,124879.0,115876.0,,39967.0,62920.0,90173.0,205220.0,84227.0,80316.0,105558.0,,99935.0,76023.0,100728.0,,91532.0,150509.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-08-31,129380.0,63755.0,90460.0,77160.0,98253.0,71726.0,66245.0,73230.0,70373.0,74421.0,123815.0,79034.0,110275.0,118172.0,72180.0,97035.0,68737.0,62949.0,103960.0,79841.0,82279.0,106697.0,55115.0,72970.0,59273.0,52072.0,101776.0,30633.0,107559.0,63894.0,58246.0,54129.0,51520.0,125131.0,116160.0,,39956.0,63295.0,90098.0,203915.0,83968.0,80419.0,105452.0,,100294.0,75962.0,100723.0,,91262.0,150218.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-09-30,129268.0,63902.0,90325.0,77250.0,98765.0,71827.0,66454.0,73629.0,70655.0,74725.0,123823.0,79038.0,110505.0,118542.0,72137.0,97370.0,69010.0,62974.0,103883.0,80127.0,82538.0,107312.0,55138.0,72863.0,59530.0,52265.0,102432.0,30757.0,107364.0,63973.0,58398.0,54231.0,51570.0,125353.0,116499.0,,39877.0,63629.0,90061.0,202732.0,83911.0,80491.0,105546.0,,100684.0,75871.0,100697.0,,91050.0,150009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-10-31,129230.0,64079.0,90211.0,77338.0,99821.0,71976.0,66639.0,74020.0,70964.0,75054.0,123859.0,79083.0,110781.0,118982.0,72100.0,97698.0,69236.0,63054.0,103841.0,80416.0,82864.0,107914.0,55086.0,73046.0,59864.0,52441.0,103133.0,30884.0,107220.0,64188.0,58500.0,54326.0,51691.0,125625.0,116783.0,,39846.0,63905.0,90013.0,201447.0,83985.0,80599.0,105657.0,,101081.0,76108.0,100295.0,,91007.0,149635.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-11-30,129241.0,64254.0,90143.0,77447.0,100648.0,72117.0,66819.0,74442.0,71299.0,75398.0,123864.0,79145.0,111122.0,119414.0,72065.0,98012.0,69502.0,63158.0,103837.0,80694.0,83195.0,108559.0,55059.0,73158.0,60213.0,52664.0,103859.0,31021.0,106917.0,64473.0,58614.0,54404.0,51788.0,125993.0,116902.0,,39850.0,64173.0,89968.0,200058.0,84060.0,80749.0,105708.0,,101436.0,76225.0,100157.0,,91110.0,149451.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
